0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
181.0,4.0,3.5,3200.0,8049.0,1.0,0.0,0.0,3.0,8.0,2700.0,500.0,1980.0,0.0,98005.0,47.5841,-122.172,1640.0,8506.0
180.0,4.0,2.5,3220.0,14463.0,2.0,0.0,0.0,3.0,8.0,3220.0,0.0,1978.0,0.0,98074.0,47.6261,-122.047,2550.0,12109.0
82.0,3.0,2.25,2680.0,100188.0,2.0,0.0,0.0,4.0,8.0,1580.0,1100.0,1978.0,0.0,98027.0,47.4776,-122.02,2540.0,60548.0
138.0,3.0,2.5,2830.0,3750.0,3.0,0.0,0.0,3.0,10.0,2830.0,0.0,2014.0,0.0,98117.0,47.6799,-122.385,1780.0,5000.0
352.0,5.0,2.5,4600.0,23250.0,1.5,0.0,2.0,3.0,9.0,3600.0,1000.0,1918.0,2003.0,98004.0,47.623,-122.218,5500.0,20066.0
117.0,3.0,2.5,2260.0,4550.0,1.5,0.0,0.0,4.0,7.0,1380.0,880.0,1928.0,0.0,98126.0,47.5714,-122.376,1870.0,4582.0
161.0,5.0,2.75,2540.0,8250.0,1.0,0.0,0.0,4.0,7.0,1440.0,1100.0,1953.0,0.0,98040.0,47.5875,-122.24,2540.0,11000.0
284.0,3.0,2.0,2160.0,105415.0,1.0,0.0,0.0,3.0,10.0,2160.0,0.0,1991.0,0.0,98059.0,47.4806,-122.152,2760.0,9620.0
326.0,3.0,2.0,1730.0,6784.0,2.5,0.0,0.0,4.0,7.0,1730.0,0.0,1942.0,0.0,98199.0,47.6462,-122.403,1210.0,6784.0
62.0,3.0,2.5,3230.0,5000.0,2.0,0.0,2.0,5.0,8.0,2430.0,800.0,1945.0,0.0,98117.0,47.7011,-122.389,1820.0,5000.0
183.0,4.0,2.75,3560.0,8975.0,2.0,0.0,0.0,3.0,10.0,3560.0,0.0,2014.0,0.0,98004.0,47.6322,-122.209,3440.0,12825.0
33.0,4.0,2.5,2770.0,45514.0,2.0,0.0,0.0,4.0,9.0,2770.0,0.0,1989.0,0.0,98077.0,47.7751,-122.088,2940.0,49495.0
180.0,5.0,3.0,2370.0,6000.0,1.5,0.0,2.0,3.0,8.0,1340.0,1030.0,1926.0,2003.0,98107.0,47.6645,-122.358,1350.0,4500.0
325.0,3.0,1.75,1080.0,3200.0,1.0,0.0,0.0,4.0,7.0,880.0,200.0,1926.0,0.0,98103.0,47.6503,-122.338,1780.0,5200.0
