0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
212.0,2.0,1.75,1820.0,8409.0,1.0,0.0,0.0,4.0,6.0,910.0,910.0,1948.0,0.0,98155.0,47.7538,-122.327,1300.0,8409.0
186.0,3.0,1.75,1690.0,5080.0,1.0,0.0,0.0,3.0,7.0,1190.0,500.0,1976.0,0.0,98106.0,47.5312,-122.348,1300.0,5080.0
110.0,4.0,2.5,2390.0,6775.0,2.0,0.0,0.0,3.0,7.0,2390.0,0.0,2003.0,0.0,98056.0,47.4811,-122.182,2560.0,6346.0
264.0,5.0,1.75,1830.0,16650.0,1.5,0.0,0.0,3.0,7.0,1610.0,220.0,1958.0,0.0,98155.0,47.7734,-122.315,1790.0,12743.0
68.0,3.0,2.25,1980.0,8755.0,1.0,0.0,0.0,4.0,7.0,1300.0,680.0,1963.0,0.0,98198.0,47.3922,-122.321,2030.0,8671.0
289.0,3.0,2.0,1500.0,8775.0,1.0,0.0,0.0,3.0,6.0,1390.0,110.0,1943.0,0.0,98166.0,47.4809,-122.335,1310.0,8775.0
194.0,3.0,1.0,1000.0,4080.0,1.0,0.0,0.0,4.0,7.0,740.0,260.0,1945.0,0.0,98126.0,47.5351,-122.381,1480.0,4080.0
119.0,3.0,2.0,2710.0,5000.0,2.0,0.0,0.0,3.0,6.0,2710.0,0.0,1951.0,0.0,98126.0,47.5188,-122.373,850.0,5000.0
49.0,3.0,2.5,2570.0,4600.0,2.0,0.0,0.0,3.0,8.0,2570.0,0.0,2014.0,0.0,98092.0,47.2582,-122.196,2570.0,5000.0
244.0,3.0,1.5,1400.0,7582.0,1.0,0.0,0.0,3.0,7.0,1400.0,0.0,1956.0,0.0,98148.0,47.4536,-122.33,1280.0,7872.0
344.0,5.0,2.5,2020.0,8250.0,1.0,0.0,0.0,4.0,8.0,1430.0,590.0,1978.0,0.0,98058.0,47.4432,-122.135,1680.0,8959.0
340.0,6.0,1.75,2240.0,11180.0,2.0,0.0,0.0,4.0,7.0,2240.0,0.0,1955.0,0.0,98198.0,47.42,-122.323,1590.0,7955.0
228.0,3.0,1.0,1180.0,13650.0,1.0,0.0,0.0,4.0,7.0,1180.0,0.0,1967.0,0.0,98058.0,47.4551,-122.154,1460.0,11730.0
358.0,1.0,0.75,930.0,6600.0,1.0,0.0,0.0,3.0,6.0,930.0,0.0,1924.0,0.0,98125.0,47.7127,-122.296,1590.0,6600.0
358.0,2.0,1.0,1020.0,9200.0,1.0,0.0,0.0,3.0,7.0,1020.0,0.0,1978.0,0.0,98045.0,47.4461,-121.769,1520.0,9600.0
153.0,3.0,1.0,1810.0,7200.0,1.0,0.0,0.0,4.0,7.0,1130.0,680.0,1954.0,0.0,98133.0,47.7493,-122.351,1810.0,8100.0
316.0,3.0,2.5,1710.0,10341.0,2.0,0.0,2.0,3.0,7.0,1710.0,0.0,1986.0,0.0,98030.0,47.3494,-122.171,1830.0,9358.0
174.0,4.0,2.0,1690.0,7728.0,1.5,0.0,0.0,4.0,7.0,1690.0,0.0,1967.0,0.0,98198.0,47.3666,-122.318,1480.0,8009.0
